Headcount by Department by Ethnic Origin,,,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,,,
"Fall 2002
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations      COFD INEN SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,738,11.8%,10,-41.2%,72,-1.4%,12,-14.3%,,7,40.0%,6,0.0%,,11,-15.4%,856,8.6%,
,247,10.3%,16,60.0%,31,-8.8%,8,-20.0%,,1,100.0%,21,-4.5%,,3,-25.0%,327,7.6%,
,5932,5.4%,167,-2.9%,729,7.7%,163,7.2%,,42,16.7%,194,6.0%,,109,4.8%,7336,5.5%,
,1039,4.2%,45,-8.2%,194,12.1%,109,13.5%,,6,0.0%,34,-5.6%,,14,-33.3%,1441,4.6%,
,262,4.0%,13,0.0%,39,25.8%,18,-18.2%,,1,0.0%,100,3.1%,,3,-50.0%,436,3.3%,
,335,10.2%,5,-16.7%,22,-15.4%,14,27.3%,,1,0.0%,60,11.1%,,10,11.1%,447,8.8%,
,93,-1.1%,4,300.0%,9,28.6%,3,-40.0%,,,,86,10.3%,,1,-75.0%,196,3.7%,
,24,-7.7%,0,-100.0%,0,-100.0%,3,50.0%,,,,71,6.0%,,,,98,1.0%,
,1753,4.8%,67,-4.3%,264,10.9%,147,8.1%,,8,0.0%,351,5.7%,,28,-30.0%,2618,4.8%,
,1955,-3.4%,34,-35.8%,235,4.0%,114,3.6%,,13,-7.1%,10,25.0%,,34,-8.1%,2395,-3.1%,
,24,9.1%,,,2,0.0%,,,,,,12,100.0%,,1,0.0%,39,25.8%,
,5,25.0%,,,,,,,,,,,,,,,5,25.0%,
,3,50.0%,,,,,1,100.0%,,,,,,,,,4,100.0%,
,35,-16.7%,1,-50.0%,3,-25.0%,2,100.0%,,,,12,-20.0%,,1,0.0%,54,-16.9%,
,19,-5.0%,1,0.0%,2,0.0%,2,100.0%,,,,14,-12.5%,,1,0.0%,39,-4.9%,
,2041,-3.5%,36,-35.7%,242,3.4%,119,6.3%,,13,-7.1%,48,6.7%,,37,-7.5%,2536,-3.0%,
,2885,-4.4%,122,5.2%,346,-6.2%,86,-12.2%,,17,0.0%,18,0.0%,,28,-26.3%,3502,-4.7%,
,2885,-4.4%,122,5.2%,346,-6.2%,86,-12.2%,,17,0.0%,18,0.0%,,28,-26.3%,3502,-4.7%,
,3,-62.5%,,,2,100.0%,,,,,,3,-57.1%,,,,8,-50.0%,
,5,-16.7%,0,-100.0%,,,0,-100.0%,,,,1,-50.0%,,,,6,-45.5%,
,1,0.0%,,,,,,,,,,,,,,,1,0.0%,
,,,,,,,,,,,,39,5.4%,,,,39,5.4%,
,11,-21.4%,2,-33.3%,3,-40.0%,2,0.0%,,,,5,25.0%,,0,-100.0%,23,-25.8%,
,20,-31.0%,2,-50.0%,5,-16.7%,2,-50.0%,,,,48,-4.0%,,0,-100.0%,77,-19.8%,
,34547,1.0%,1048,-2.3%,3714,1.0%,1349,-0.4%,,211,2.4%,3679,5.7%,,535,-14.5%,45083,1.0%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,,,,,
