Headcount by Department by Ethnic Origin,,,,,,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,,,,,,
"Spring 2002
Geosciences            ATMO GEOG GEOL GEPL OCNG
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPH VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations             COFD EPSY INEN PETE SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,89,20.3%,,,6,200.0%,5,25.0%,,,,1,100.0%,,5,-16.7%,106,23.3%,
,772,14.4%,15,-31.8%,96,23.1%,17,30.8%,,7,16.7%,11,-15.4%,,11,0.0%,929,13.6%,
,52,30.0%,5,150.0%,13,30.0%,0,-100.0%,,,,,,,,,70,32.1%,
,1156,9.0%,50,2.0%,150,-2.6%,45,-2.2%,,8,14.3%,10,11.1%,,18,-40.0%,1437,6.0%,
,670,20.3%,14,-22.2%,70,18.6%,14,7.7%,,7,40.0%,5,66.7%,,14,0.0%,794,18.7%,
,228,12.3%,12,0.0%,31,-6.1%,9,0.0%,,1,0.0%,23,-4.2%,,3,-25.0%,307,7.3%,
,5697,10.1%,159,-3.0%,675,4.7%,151,1.3%,,45,32.4%,175,0.0%,,101,-17.9%,7003,8.3%,
,895,2.3%,41,10.8%,142,-6.6%,90,-2.2%,,3,50.0%,30,-21.1%,,18,-37.9%,1219,-0.5%,
,240,-3.6%,12,-7.7%,29,45.0%,20,11.1%,,1,0.0%,99,11.2%,,5,0.0%,406,2.8%,
,289,9.1%,6,20.0%,21,10.5%,11,22.2%,,1,100.0%,52,-7.1%,,8,0.0%,388,7.2%,
,80,-2.4%,1,0.0%,5,-16.7%,6,100.0%,,,,72,4.3%,,3,-25.0%,167,1.2%,
,23,9.5%,1,0.0%,1,-50.0%,2,-33.3%,,,,66,15.8%,,,,93,10.7%,
,1527,2.3%,61,7.0%,198,-0.5%,129,3.2%,,5,66.7%,319,3.2%,,34,-26.1%,2273,1.9%,
,1822,-7.6%,41,-21.2%,205,-10.9%,105,-12.5%,,12,-20.0%,7,-36.4%,,34,-17.1%,2226,-8.8%,
,23,4.5%,,,2,0.0%,0,-100.0%,,,,8,33.3%,,1,100.0%,34,9.7%,
,4,0.0%,,,1,100.0%,,,,,,,,,,,5,25.0%,
,3,50.0%,,,,,,,,,,,,,,,3,50.0%,
,45,28.6%,2,0.0%,5,25.0%,1,0.0%,,,,13,0.0%,,1,0.0%,67,19.6%,
,,,,,,,,,,,,1,100.0%,,,,1,100.0%,
,19,-5.0%,1,0.0%,1,-50.0%,2,0.0%,,,,15,7.1%,,1,100.0%,39,0.0%,
,1916,-6.8%,44,-20.0%,214,-10.1%,108,-12.9%,,12,-20.0%,44,0.0%,,37,-11.9%,2375,-7.7%,
,2513,5.5%,109,9.0%,316,15.8%,87,6.1%,,15,-11.8%,19,5.6%,,30,-21.1%,3089,6.1%,
,2513,5.5%,109,9.0%,316,15.8%,87,6.1%,,15,-11.8%,19,5.6%,,30,-21.1%,3089,6.1%,
,,,1,100.0%,,,,,,,,5,100.0%,,,,6,100.0%,
,7,100.0%,1,100.0%,,,2,100.0%,,,,2,100.0%,,,,12,100.0%,
,,,,,,,,,,,,,,,0,-100.0%,0,-100.0%,
,1,-50.0%,,,,,,,,,,,,,,,1,-50.0%,
,,,,,,,,,,,,1,100.0%,,,,1,100.0%,
,,,,,,,,,,,,31,24.0%,,,,31,24.0%,
,15,100.0%,4,100.0%,5,100.0%,1,100.0%,,,,1,100.0%,,2,100.0%,28,100.0%,
,23,1050.0%,6,100.0%,5,100.0%,3,100.0%,,,,40,60.0%,,2,100.0%,79,182.1%,
,32129,2.2%,1005,1.9%,3380,0.2%,1287,-1.3%,,196,10.1%,3309,4.5%,,568,-14.5%,41874,1.9%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,,,,,,
