Texas A&M University Student Enrollment Summary,,,,,,,,,,,,,,,,,,,,,,
Student Head Count by Student Level (All Campuses),,,,,,,,,,,,,,,,,,,,,,
Fall 2013                                                           Undergraduate                                  Masters                                         Doctoral                                    Professional                                        Total,,,,,,,,,,,,,,,,,,,,,,
,Asian Only,,"2,181",,4.9%,,250,,4.4%,,148,,3.2%,,44,,3.4%,,"2,623",,4.7%,
,Black Only + 2 or more/1 Black,,"1,425",,3.2%,,194,,3.4%,,193,,4.1%,,56,,4.3%,,"1,868",,3.3%,
,Hispanic or Latino of any Race,,"8,635",,19.4%,,505,,8.9%,,390,,8.3%,,142,,10.9%,,"9,672",,17.2%,
,Native Hawaii Only,,44,,.1%,,1,,.0%,,1,,.0%,,,,,,46,,.1%,
,2 or More/Excluding Black,,"1,051",,2.4%,,67,,1.2%,,39,,.8%,,27,,2.1%,,"1,184",,2.1%,
,International,,"1,141",,2.6%,,"1,793",,31.5%,,"2,234",,47.6%,,3,,.2%,,"5,171",,9.2%,
,Unknown or Not Reported,,101,,.2%,,125,,2.2%,,60,,1.3%,,25,,1.9%,,311,,.6%,
TAMU Age,<18,,91,,.2%,,,,,,1,,.0%,,,,,,92,,.2%,
Categories,18-21,,"34,311",,77.0%,,108,,1.9%,,20,,.4%,,28,,2.2%,,"34,467",,61.3%,
,22-25,,"9,127",,20.5%,,"3,016",,53.0%,,984,,20.9%,,607,,46.8%,,"13,734",,24.4%,
,26-30,,674,,1.5%,,"1,417",,24.9%,,"1,980",,42.2%,,388,,29.9%,,"4,459",,7.9%,
,31-39,,249,,.6%,,741,,13.0%,,"1,265",,26.9%,,183,,14.1%,,"2,438",,4.3%,
,40+,,117,,.3%,,410,,7.2%,,447,,9.5%,,91,,7.0%,,"1,065",,1.9%,
Enrollment Status,1st Time in College,,"10,344",,23.2%,,,,,,,,,,,,,,"10,344",,18.4%,
,1st Time Transfer,,"2,318",,5.2%,,,,,,,,,,,,,,"2,318",,4.1%,
,1st Time Graduate,,,,,,"2,530",,44.4%,,808,,17.2%,,,,,,"3,338",,5.9%,
,1st Time Professional,,,,,,,,,,,,,,381,,29.4%,,381,,.7%,
,Readmitted,,454,,1.0%,,23,,.4%,,11,,.2%,,,,,,488,,.9%,
,Continuing,,"31,453",,70.6%,,"3,139",,55.1%,,"3,878",,82.6%,,916,,70.6%,,"39,386",,70.0%,
SCH Categories,< 6 SCH,,"2,029",,4.6%,,961,,16.9%,,707,,15.1%,,5,,.4%,,"3,702",,6.6%,
,6-8 SCH,,"1,094",,2.5%,,668,,11.7%,,149,,3.2%,,31,,2.4%,,"1,942",,3.5%,
,9-11 SCH,,"1,379",,3.1%,,"2,611",,45.9%,,"3,694",,78.6%,,191,,14.7%,,"7,875",,14.0%,
,12-14 SCH,,"23,014",,51.6%,,"1,125",,19.8%,,127,,2.7%,,331,,25.5%,,"24,597",,43.7%,
,15-17 SCH,,"16,132",,36.2%,,263,,4.6%,,20,,.4%,,211,,16.3%,,"16,626",,29.6%,
,>17 SCH,,921,,2.1%,,64,,1.1%,,,,,,528,,40.7%,,"1,513",,2.7%,
Ft/Pt:  TAMU Status,Less Than Half Time,,"2,029",,4.6%,,843,,14.8%,,617,,13.1%,,4,,.3%,,"3,493",,6.2%,
,Half-Time,,"2,473",,5.5%,,786,,13.8%,,239,,5.1%,,32,,2.5%,,"3,530",,6.3%,
,Full-Time,,"40,067",,89.9%,,"4,063",,71.4%,,"3,841",,81.8%,,"1,261",,97.2%,,"49,232",,87.5%,
Top 10% Texas High,No,,"25,106",,56.3%,,"5,288",,92.9%,,"4,566",,97.2%,,"1,218",,93.9%,,"36,178",,64.3%,
School,Yes,,"19,463",,43.7%,,404,,7.1%,,131,,2.8%,,79,,6.1%,,"20,077",,35.7%,
First Generation,No,,"30,619",,68.7%,,"2,362",,41.5%,,"2,139",,45.5%,,133,,10.3%,,"35,253",,62.7%,
,Unknown,,"2,394",,5.4%,,"2,406",,42.3%,,"1,449",,30.8%,,"1,118",,86.2%,,"7,367",,13.1%,
,Yes,,"11,556",,25.9%,,924,,16.2%,,"1,109",,23.6%,,46,,3.5%,,"13,635",,24.2%,
"Table 2     Prepared by DARS, 12/3/2013",,,,,,,,,,,,,,,,,,,,,,
