Spring 2013,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,VPAT,10,,,,1,,,,,2,,,1,,,2,,,12,4,16,
,VPHY,1,,,,,,,,,,,,,,,,,,1,,1,
,VTMD,348,101,2,1,13,,3,1,30,16,,,2,,,,7,2,405,121,526,
,VTMI,4,2,,,,,1,,1,,,,,,2,1,,,8,3,11,
,VTPH,1,1,,,,,,,,,,,,,,,,,1,1,2,
,Subtotal,"1,109",442,4,2,113,72,60,13,281,107,1,,38,16,20,26,9,4,"1,635",682,"2,317",
,GEST,487,582,3,3,40,58,58,47,208,227,,2,19,18,3,12,,5,818,954,"1,772",
,TEAM,399,454,2,3,13,19,11,9,88,81,,1,11,15,,,1,1,525,583,"1,108",
,Subtotal,886,"1,036",5,6,53,77,69,56,296,308,,3,30,33,3,12,1,6,"1,343","1,537","2,880",
,MARA,,1,,,,,,1,,,,,,,,,,,,2,2,
,MARB,1,,,,,,,,1,,,,,,,,,,2,,2,
,MARS,1,,,,,,,,,,,,,,,,,,1,,1,
,MDSC,,2,,,1,1,,,1,,,,1,,,,1,,4,3,7,
,PHLT,6,6,,,1,1,2,,1,,,,,,5,2,2,2,17,11,28,
,REEP,1,,,,,,,,,,,,,,33,32,1,,35,32,67,
,Subtotal,9,9,,,2,2,2,1,3,,,,1,,38,34,4,2,59,48,107,
Total,,"14,636","15,666",64,65,927,"1,281",828,735,"3,807","3,836",15,24,452,480,"1,363","2,673",81,128,"22,173","24,888","47,061",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,,,,,,,,,,
