Fall 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,BUAD,"1,578",-0.5%,62,17.0%,238,22.7%,68,7.9%,12,71.4%,41,2.5%,8,-11.1%,"2,007",2.8%,
,BUAG,13,-7.1%,,,2,100.0%,0,-100.0%,1,100.0%,,,,,16,6.7%,
,EMBA,63,133.3%,4,300.0%,13,30.0%,3,50.0%,,,3,100.0%,4,100.0%,90,114.3%,
,FINC,547,-4.7%,6,-33.3%,38,11.8%,28,12.0%,5,150.0%,21,31.3%,1,-50.0%,646,-2.4%,
,INFO,123,-12.1%,4,100.0%,14,55.6%,5,0.0%,1,-66.7%,6,-40.0%,2,100.0%,155,-8.8%,
,MGMT,330,-4.1%,9,-35.7%,42,20.0%,20,17.6%,1,0.0%,11,10.0%,2,-33.3%,415,-2.1%,
,MISY,59,47.5%,1,-50.0%,3,100.0%,6,100.0%,,,97,12.8%,,,166,26.7%,
,MKTG,525,-5.1%,5,-44.4%,42,35.5%,14,0.0%,0,-100.0%,22,46.7%,1,-50.0%,609,-2.9%,
,MLER,64,-8.6%,1,100.0%,5,66.7%,,,1,100.0%,2,100.0%,4,-20.0%,77,-2.5%,
,Subtotal,"3,966",-1.6%,100,2.0%,447,25.2%,182,12.3%,24,26.3%,219,13.5%,26,-3.7%,"4,964",1.6%,
Education,CPSY,26,4.0%,8,100.0%,7,16.7%,2,0.0%,,,2,100.0%,1,0.0%,46,17.9%,
,EDAD,191,-1.0%,29,-17.1%,46,-16.4%,1,100.0%,2,0.0%,9,28.6%,4,-20.0%,282,-5.1%,
,EDCI,248,4.2%,43,-8.5%,42,40.0%,9,80.0%,1,0.0%,36,24.1%,3,-25.0%,382,7.9%,
,EDHL,162,-16.5%,9,12.5%,21,-8.7%,3,-57.1%,3,100.0%,2,100.0%,1,100.0%,201,-13.4%,
,EDIS,735,-5.4%,19,-13.6%,72,-18.2%,13,18.2%,4,-20.0%,2,100.0%,3,100.0%,848,-6.1%,
,EDKI,599,-2.0%,28,-3.4%,73,10.6%,14,-12.5%,1,-66.7%,,,1,100.0%,716,-1.2%,
,EDSM,270,30.4%,15,0.0%,29,38.1%,2,100.0%,1,100.0%,2,100.0%,0,-100.0%,319,29.7%,
,EDTC,11,-52.2%,0,-100.0%,2,-33.3%,1,100.0%,,,2,-50.0%,,,16,-48.4%,
,EHRD,92,-3.2%,21,10.5%,31,14.8%,3,50.0%,,,22,4.8%,2,-33.3%,171,2.4%,
,EPSY,102,-1.0%,5,-50.0%,19,-17.4%,,,1,0.0%,31,3.3%,,,158,-5.4%,
,HEED,19,5.6%,6,-25.0%,1,0.0%,2,100.0%,,,5,25.0%,0,-100.0%,33,0.0%,
,HLTH,137,22.3%,7,40.0%,18,63.6%,5,150.0%,,,0,-100.0%,1,100.0%,168,28.2%,
,INST,869,-14.2%,15,7.1%,119,19.0%,13,44.4%,2,-60.0%,2,0.0%,1,-50.0%,"1,021",-10.8%,
,ISNC,299,13.7%,19,46.2%,52,26.8%,9,28.6%,2,0.0%,2,0.0%,2,100.0%,385,17.0%,
,KINE,288,-9.1%,9,125.0%,25,13.6%,6,20.0%,1,0.0%,18,38.5%,3,0.0%,350,-4.1%,
,PHED,4,33.3%,,,0,-100.0%,,,,,1,-50.0%,,,5,-28.6%,
,SPMT,155,82.4%,2,100.0%,17,88.9%,1,100.0%,,,1,100.0%,1,100.0%,177,86.3%,
,SPSY,23,-8.0%,7,40.0%,10,-9.1%,4,0.0%,,,1,0.0%,,,45,-2.2%,
,TECR,27,22.7%,,,1,-66.7%,0,-100.0%,1,100.0%,,,0,-100.0%,29,7.4%,
,Subtotal,"4,257",-1.5%,242,0.8%,585,7.9%,88,20.5%,19,-5.0%,138,16.9%,23,4.5%,"5,352",0.2%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,,,
