Fall 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,EPSY,118,15.7%,14,180.0%,27,42.1%,1,100.0%,1,0.0%,29,-6.5%,,,190,20.3%,
,HEED,15,-21.1%,7,16.7%,1,0.0%,3,50.0%,,,3,-40.0%,,,29,-12.1%,
,HLTH,125,-8.8%,7,0.0%,14,-22.2%,2,-60.0%,2,100.0%,,,1,0.0%,151,-10.1%,
,INST,766,-11.9%,10,-33.3%,102,-14.3%,10,-23.1%,2,0.0%,3,50.0%,2,100.0%,895,-12.3%,
,ISNC,297,-0.7%,19,0.0%,57,9.6%,14,55.6%,2,0.0%,2,0.0%,4,100.0%,395,2.6%,
,KINE,311,8.0%,10,11.1%,30,20.0%,5,-16.7%,1,0.0%,28,55.6%,2,-33.3%,387,10.6%,
,PHED,7,75.0%,,,,,,,,,0,-100.0%,,,7,40.0%,
,SPMT,191,23.2%,7,250.0%,14,-17.6%,4,300.0%,1,100.0%,1,0.0%,0,-100.0%,218,23.2%,
,SPSY,21,-8.7%,7,0.0%,11,10.0%,4,0.0%,,,1,0.0%,,,44,-2.2%,
,TECR,4,-85.2%,1,100.0%,1,0.0%,,,0,-100.0%,,,,,6,-79.3%,
,Subtotal,"4,259",0.0%,271,12.0%,636,8.7%,96,9.1%,21,10.5%,148,7.2%,23,0.0%,"5,454",1.9%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,
