Texas A&M University Summary,,,,,,,,,,,,,,,,
"Student Head Count, Change by Level Fall 2009",,,,,,,,,,,,,,,,
"Fall 2009
University Total
College                       Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Gender                        Female Male
Ethnicity                     White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age                <18
Categories                  18-21
22-25
26-30
31-39
40+
Enrollment                  1st Time in College
Status                          1st Time PB
1st Time Graduate 1st Time Professional 1st Time Transfer Readmitted Continuing
Tuition Status             Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident SCH Categories         < 6 SCH
6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU             Less Than Half Time Status                          Half-Time
Three-Quarter Time Full-Time",Undergraduate,,,Masters,,,PhD,,,Professional,,,Grand Total,,,
,"29,006",-357,-1.2%,"2,829",-80,-2.8%,"1,297",47,3.8%,434,-3,-0.7%,"33,566",-393,-1.2%,
,"1,247",32,2.6%,175,25,16.7%,199,5,2.6%,3,2,200.0%,"1,624",64,4.1%,
,"5,617",429,8.3%,413,30,7.8%,261,3,1.2%,51,13,34.2%,"6,342",475,8.1%,
,"1,962",203,11.5%,177,9,5.4%,85,3,3.7%,14,-4,-22.2%,"2,238",211,10.4%,
,234,12,5.4%,18,6,50.0%,17,-3,-15.0%,2,,0.0%,271,15,5.9%,
,625,47,8.1%,"2,213",92,4.3%,"1,546",76,5.2%,,,,"4,384",215,5.2%,
,118,13,12.4%,94,39,70.9%,59,25,73.5%,6,-1,-14.3%,277,76,37.8%,
,78,7,9.9%,,,,,,,,,,78,7,9.9%,
,"29,662",314,1.1%,104,-4,-3.7%,0,-1,-100.0%,26,1,4.0%,"29,792",310,1.1%,
,"8,263",128,1.6%,"3,354",54,1.6%,310,75,31.9%,314,-5,-1.6%,"12,241",252,2.1%,
,525,-76,-12.6%,"1,599",140,9.6%,"1,416",66,4.9%,140,8,6.1%,"3,680",138,3.9%,
,189,4,2.2%,611,-3,-0.5%,"1,217",6,0.5%,25,3,13.6%,"2,042",10,0.5%,
,92,2,2.2%,251,-66,-20.8%,521,10,2.0%,5,,0.0%,869,-54,-5.9%,
,"8,071",-22,-0.3%,,,,,,,,,,"8,071",-22,-0.3%,
,46,31,206.7%,157,-78,-33.2%,,,,,,,203,-47,-18.8%,
,,,,"2,235",-138,-5.8%,324,1,0.3%,,,,"2,559",-137,-5.1%,
,,,,,,,,,,133,,0.0%,133,,0.0%,
,"1,533",-133,-8.0%,,,,,,,,,,"1,533",-133,-8.0%,
,441,32,7.8%,38,22,137.5%,22,8,57.1%,1,1,100.0%,502,63,14.4%,
,"28,718",471,1.7%,"3,489",315,9.9%,"3,118",147,4.9%,376,6,1.6%,"35,701",939,2.7%,
,"36,505",289,0.8%,"2,817",-40,-1.4%,"1,315",53,4.2%,473,7,1.5%,"41,110",309,0.8%,
,929,-5,-0.5%,907,-5,-0.5%,347,9,2.7%,9,1,12.5%,"2,192",,0.0%,
,"1,375",95,7.4%,"2,195",166,8.2%,"1,802",94,5.5%,28,-1,-3.4%,"5,400",354,7.0%,
,"36,927",333,0.9%,"2,899",-37,-1.3%,"1,372",56,4.3%,478,9,1.9%,"41,676",361,0.9%,
,"1,243",2,0.2%,799,71,9.8%,540,24,4.7%,32,-2,-5.9%,"2,614",95,3.8%,
,639,44,7.4%,"2,221",87,4.1%,"1,552",76,5.1%,,,,"4,412",207,4.9%,
,"1,263",25,2.0%,746,4,0.5%,695,-47,-6.3%,,,,"2,704",-18,-0.7%,
,990,15,1.5%,479,-59,-11.0%,205,39,23.5%,1,1,100.0%,"1,675",-4,-0.2%,
,"1,309",-19,-1.4%,"3,473",209,6.4%,"2,465",161,7.0%,,,,"7,247",351,5.1%,
,"20,496","1,174",6.1%,903,-20,-2.2%,80,1,1.3%,,,,"21,479","1,155",5.7%,
,"14,006",-728,-4.9%,244,8,3.4%,18,2,12.5%,,,,"14,268",-718,-4.8%,
,745,-88,-10.6%,74,-21,-22.1%,1,,0.0%,509,6,1.2%,"1,329",-103,-7.2%,
,"1,221",68,5.9%,540,-63,-10.4%,540,-75,-12.2%,,,,"2,301",-70,-3.0%,
,876,173,24.6%,564,-54,-8.7%,309,42,15.7%,1,1,100.0%,"1,750",162,10.2%,
,"1,312",9,0.7%,1,1,100.0%,,,,,,,"1,313",10,0.8%,
,"35,400",129,0.4%,"4,814",237,5.2%,"2,615",189,7.8%,509,6,1.2%,"43,338",561,1.3%,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,
