Texas A&M University Student Enrollment Summary Student Head Count by Level,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
"University Summary, Fall 2010",,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,Non-Resident Tuition,878,2.2%,"1,033",17.7%,387,10.7%,3,.6%,"2,301",4.7%,
,Tuition  Exemption/Waiver,"1,791",4.6%,"1,902",32.6%,"1,934",53.3%,34,6.6%,"5,661",11.5%,
Residency Status,Texas Resident,"37,342",95.4%,"3,034",52.0%,"1,383",38.1%,486,94.2%,"42,245",86.0%,
,"Non-TX, US Resident","1,195",3.1%,811,13.9%,567,15.6%,30,5.8%,"2,603",5.3%,
,"Non-TX, Non-US Resident",611,1.6%,"1,989",34.1%,"1,681",46.3%,,,"4,281",8.7%,
SCH Categories,< 6 SCH,"1,320",3.4%,763,13.1%,699,19.3%,,,"2,782",5.7%,
,6-8 SCH,936,2.4%,492,8.4%,181,5.0%,,,"1,609",3.3%,
,9-11 SCH,"1,302",3.3%,"3,468",59.4%,"2,677",73.7%,,,"7,447",15.2%,
,12-14 SCH,"21,034",53.7%,812,13.9%,61,1.7%,1,.2%,"21,908",44.6%,
,15-17 SCH,"13,763",35.2%,228,3.9%,11,.3%,,,"14,002",28.5%,
,>17 SCH,793,2.0%,71,1.2%,2,.1%,515,99.8%,"1,381",2.8%,
Ft/Pt: TAMU Status,Less Than Half Time,"1,237",3.2%,527,9.0%,530,14.6%,,,"2,294",4.7%,
,Half-Time,"2,019",5.2%,545,9.3%,303,8.3%,,,"2,867",5.8%,
,Three-Quarter Time,1,.0%,,,,,,,1,.0%,
,Full-Time,"35,891",91.7%,"4,762",81.6%,"2,798",77.1%,516,100.0%,"43,967",89.5%,
Top 10% Texas High School,No,"23,510",60.1%,"5,561",95.3%,"3,456",95.2%,414,80.2%,"32,941",67.1%,
,Yes,"15,638",39.9%,273,4.7%,175,4.8%,102,19.8%,"16,188",32.9%,
First Generation,No,"27,651",70.6%,"3,309",56.7%,"1,817",50.0%,133,25.8%,"32,910",67.0%,
,Unknown,"1,322",3.4%,"1,085",18.6%,702,19.3%,347,67.2%,"3,456",7.0%,
,Yes,"10,175",26.0%,"1,440",24.7%,"1,112",30.6%,36,7.0%,"12,763",26.0%,
"Prepared by OISP, 11/23/2010",,,,,,,,,,,,
