Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level (College Station Campus) Fall 2011,,,,,,,,,,,,
"University Summary, Fall 2011",,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
Tuition Exemption/Waiver,,"2,115",5.3%,"1,600",28.9%,"2,180",55.3%,32,6.1%,"5,927",11.9%,
Residency Status,Texas Resident,"38,018",95.4%,"2,997",54.2%,"1,388",35.2%,492,94.4%,"42,895",86.0%,
"Non-TX, US Resident",,"1,200",3.0%,776,14.0%,636,16.1%,29,5.6%,"2,641",5.3%,
"Non-TX, Non-US Resident",,649,1.6%,"1,757",31.8%,"1,919",48.7%,,,"4,325",8.7%,
SCH Categories,< 6 SCH,"1,307",3.3%,761,13.8%,694,17.6%,1,.2%,"2,763",5.5%,
6-8 SCH,,944,2.4%,492,8.9%,181,4.6%,,,"1,617",3.2%,
9-11 SCH,,"1,329",3.3%,"2,914",52.7%,"2,943",74.6%,,,"7,186",14.4%,
12-14 SCH,,"21,426",53.7%,"1,035",18.7%,102,2.6%,,,"22,563",45.3%,
15-17 SCH,,"14,041",35.2%,245,4.4%,23,.6%,1,.2%,"14,310",28.7%,
>17 SCH,,820,2.1%,83,1.5%,,,519,99.6%,"1,422",2.9%,
Ft/Pt: TAMU Status,Less Than Half Time,"1,234",3.1%,642,11.6%,564,14.3%,1,.2%,"2,441",4.9%,
Half-Time,,"2,118",5.3%,585,10.6%,286,7.3%,,,"2,989",6.0%,
Full-Time,,"36,515",91.6%,"4,303",77.8%,"3,093",78.4%,520,99.8%,"44,431",89.1%,
Top 10% Texas High School,No,"23,262",58.3%,"5,408",97.8%,"3,775",95.7%,469,90.0%,"32,914",66.0%,
Yes,,"16,605",41.7%,122,2.2%,168,4.3%,52,10.0%,"16,947",34.0%,
First Generation,No,"28,097",70.5%,"2,725",49.3%,"2,036",51.6%,80,15.4%,"32,938",66.1%,
Unknown,,"1,457",3.7%,"1,674",30.3%,719,18.2%,415,79.7%,"4,265",8.6%,
Yes,,"10,313",25.9%,"1,131",20.5%,"1,188",30.1%,26,5.0%,"12,658",25.4%,
"Prepared by DARS, 1/4/2012",,,,,,,,,,,,
Page 2,,,,,,,,,,,,
