"Summer 2002
G. Bush School       BUSH  of Govt                    Subtotal
Geosciences             ATMO GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations              COFD
SABX SRPH
Subtotal
Total",White,,Black,,,Hispanic,,Asian,,,American Indian,,,International,,Unknown/Other,,,Total,,
,672,-12.3%,,20,5.3%,57,-23.0%,,35,-18.6%,,3,-57.1%,38,8.6%,,16,-5.9%,841,-12.5%,
,410,13.9%,,52,18.2%,87,22.5%,,24,33.3%,,0,-100.0%,4,300.0%,,6,-53.8%,583,14.3%,
,410,13.9%,,52,18.2%,87,22.5%,,24,33.3%,,0,-100.0%,4,300.0%,,6,-53.8%,583,14.3%,
,3,100.0%,,1,100.0%,,,,,,,,,3,100.0%,,,,7,100.0%,
,11,100.0%,,,,,,,3,100.0%,,,,3,100.0%,,,,17,100.0%,
,,,,,,,,,,,,,,16,-23.8%,,,,16,-23.8%,
,4,-33.3%,,2,0.0%,2,-71.4%,,,,,,,1,-50.0%,,1,-50.0%,10,-47.4%,
,18,200.0%,,3,50.0%,2,-71.4%,,3,100.0%,,,,23,0.0%,,1,-50.0%,50,25.0%,
,13936,3.4%,,532,5.3%,1497,1.8%,,605,1.2%,,85,2.4%,2209,-0.9%,,295,10.1%,19159,2.8%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,,,,,,,,,,
